Предприятие;Дата;Поступление Сумма;Отчисление Сумма
Газпром;25/01/2017;69159753;0
ИП;27/03/2015;0;5123789
ООО;19/01/2017;0;6111999
ОАО;28/03/2015;0;7100209
Газпром ОАО;12/6/2017;0;8088419
ОАО;27/10/2016;0;9076629
ОАО Газпром;13/12/2015;0;5123789
ОАО газпром;30/06/2016;0;6111999
ИП;25/05/2015;0;7100209
"ОАО""Газпром""";26/10/2017;0;8088419
ОА ОАО;17/11/2016;0;-9076629
ООО;20/10/2017;0;5123789
Гащпром ОАО;13/11/2017;0;6111999
Газпром оОАО;4/12/2015;0;-7100209
ИП;7/1/2015;0;8088419
Газпром;8/1/2015;10159753;9076629
ОАО Газпром;23/01/2015;0;5123789
газпром;24/05/2015;0;6111999
Газпром;25/01/2015;0;7100209
